t_fs,Re_E,Im_E,intensity
-709.9609375,2.6188053314460875,2.2348022338010183,11.852482388212472
-708.984375,2.524679519547437,2.143347967437231,10.967947185939586
-708.0078125,2.4329695036107912,2.049851391962044,10.12123133462887
-707.03125,2.3437371987004423,1.954322028654417,9.312478648256112
-706.0546875,2.2570493514826744,1.8567747893793665,8.541884393503153
-705.078125,2.172976607045059,1.7572307547430528,7.809687260179896
-704.1015625,2.091592439871954,1.6557177841805624,7.116160315381305
-703.125,2.0129720033009737,1.5522709315076106,6.461601330877041
-702.1484375,1.9371909415135669,1.4469326330418317,5.846322788443588
-701.171875,1.8643241922711047,1.3397526553548338,5.270641871417634
-700.1953125,1.7944448144045104,1.2307878203489286,4.734870850662505
-699.21875,1.7276228939212444,1.1201015354108366,4.239308313230529
-698.2421875,1.6639245849793807,1.0077631445460131,3.784231580004073
-697.265625,1.6034113180724376,0.8938471122125646,3.3698905149335334
-696.2890625,1.546139184003529,0.7784320715297559,2.9965028662972055
-695.3125,1.49215850269196,0.6615997923701387,2.6642512824201217
-694.3359375,1.4415135985819703,0.543434123796267,2.3732821018029577
-693.359375,1.3942427985258155,0.42401994358574324,2.123705893799554
-692.3828125,1.3503786396214883,0.3034421370300757,1.91559960087136
-691.40625,1.309948253503722,0.18178464070167077,1.749010082452487
-690.4296875,1.2729739002889833,0.05912959960493769,1.6239588603663866
-689.453125,1.2394736407195408,-0.06444332733786995,1.540447848476929
-688.4765625,1.2094621294824979,-0.1888575056197781,1.498465800081263
-687.5,1.1829514906205714,-0.3140397088335436,1.4979951678856886
-686.5234375,1.159952227309474,-0.4399203372452707,1.5390190727622024
-685.546875,1.1404741333691142,-0.5664334542401099,1.621528106966415
-684.5703125,1.1245271904268583,-0.6935166388800216,1.7455267304127664
-683.59375,1.1121224313926485,-0.8211106742090939,1.9110390417068086
-682.6171875,1.1032727359838415,-0.94915909479136,2.1181137171904254
-681.640625,1.097993521796666,-1.077607603967731,2.3668279220365194
-680.6640625,1.0963033114060234,-1.2064033650762247,2.6572900298670508
